time,One_full_time_and_one_part_time_working_person_three_children,Two_full_time_working_persons_three_children,One_full_time_and_one_part_time_working_person_two_children,Two_full_time_working_persons_two_children,"One_full_time_and_one_part_time_working_person,_one_child",Two_full_time_working_persons_one_child,One_full_time_and_one_part_time_working_person,Two_pensioneers,Two_full_time_working_persons,One_pensioneer,One_full_time_working_person
9/19/2015 0:00,0.171005505,0.182447987,0.460348633,0.485511333,0.117032367,1.186118517,0.118855867,0.315882783,0.118562583,0.061260032,0.323533717
9/19/2015 1:00,0.177064212,0.179710572,0.200204133,0.125039933,0.13246625,0.21662673,0.118323233,0.124763317,0.1240261,0.061357207,0.121286783
9/19/2015 2:00,0.14611012,0.204916633,0.22166525,0.075312033,0.117359383,0.112641438,0.120290282,0.11587545,0.204540283,0.064202968,0.119379883
9/19/2015 3:00,0.144207398,0.206947367,0.2043151,0.096777885,0.116823217,0.131149457,0.121200033,0.11666625,0.143222867,0.076795515,0.120148883
9/19/2015 4:00,0.1586709,0.17060636,0.118488,0.249753967,0.11740655,0.129687767,0.1191841,0.1165225,0.12241385,0.063059528,0.120239833
9/19/2015 5:00,0.159900602,0.245688917,0.238902333,0.50834515,0.1188092,0.113404533,0.119096517,0.215839817,0.12465755,0.062209648,0.121720917
9/19/2015 6:00,0.514140833,0.97357195,0.206760667,0.665318083,0.487721017,0.122281,0.143381433,0.273963867,0.233379317,0.067900465,0.121961867
9/19/2015 7:00,0.198098683,0.794118105,0.11603935,0.2091649,0.148573133,0.1374644,0.146494367,0.413200033,0.176361732,0.145880125,0.120139217
9/19/2015 8:00,0.16462335,0.19738955,0.09793405,0.116736,0.70101645,1.00489945,0.34689885,0.124715817,0.884628767,0.06835386,0.202819183
9/19/2015 9:00,0.587583405,0.1861839,1.538177333,0.087032933,0.322485967,1.157131557,0.1207762,0.178218717,0.4727342,0.066988655,0.125381567
9/19/2015 10:00,0.345221827,0.196290817,0.732764612,0.276171722,0.291207058,0.241310017,0.120441367,0.891613033,0.29909195,0.541689413,0.125134583
9/19/2015 11:00,0.496230633,2.589491567,0.396517527,0.4654002,0.95422395,0.542901883,0.119582217,0.1241362,0.13642655,0.082430182,0.127304962
9/19/2015 12:00,1.519550883,0.743398817,0.1422298,0.095173117,0.1491097,0.141284533,0.125069533,1.06670555,0.198381767,0.062010333,0.12423635
9/19/2015 13:00,1.087040382,2.167820867,0.27926985,0.088415875,1.396618317,1.35937655,0.281015605,0.610678467,0.297995817,0.062088154,0.119155767
9/19/2015 14:00,2.325593477,0.526582083,0.148249383,0.6801385,1.010495117,0.399599103,0.200636617,0.123647667,0.286766017,0.062550397,0.1190253
9/19/2015 15:00,2.515897783,0.618660817,2.372905717,0.23043725,0.135274438,0.125611375,1.0051805,0.132278667,0.20918155,0.079785432,0.11914495
9/19/2015 16:00,0.393493285,0.78114745,0.335975239,0.442764233,0.425380883,0.13596293,0.220569033,0.131898683,0.888269083,0.062033505,0.180800467
9/19/2015 17:00,0.442008307,0.301074,2.256609575,0.373026767,0.469399667,0.3022405,0.997360287,0.187539267,0.4375085,0.062012885,0.22146455
9/19/2015 18:00,1.081425777,1.13345895,0.892247195,0.324925083,0.552071383,0.440933667,0.514210117,0.343196383,0.975600005,0.149107555,0.23194815
9/19/2015 19:00,0.613376067,0.928915583,0.941124833,0.389756617,0.541113767,1.109084333,0.626073117,0.400122817,0.412973317,0.181405817,0.2342967
9/19/2015 20:00,0.7250421,1.317144233,1.01289805,0.543804333,0.42769435,0.555060167,0.442836667,0.399019567,0.385366317,0.093401233,0.322969017
9/19/2015 21:00,0.774003967,0.747169917,0.4112314,0.385822,0.36764895,0.251774833,0.482741833,0.373088538,0.386019433,0.062343128,0.275985717
9/19/2015 22:00,0.454252272,0.652409,0.22362145,0.366667233,0.328780617,0.286993,0.31102775,0.221162017,0.232200033,0.063206915,0.245676483
9/19/2015 23:00,0.2644651,2.122202167,0.166522317,0.422667917,0.216901317,0.279128933,0.340528983,0.122735467,0.121394633,0.078122368,0.201590333
9/20/2015 0:00,0.147283002,0.680206603,0.119560083,0.38609425,0.135324567,0.12096405,0.15103085,0.116872367,0.118473483,0.061105598,0.153201467
9/20/2015 1:00,0.176562943,0.179721538,0.080532167,0.088784917,0.131962667,0.117648133,0.118519333,0.1412234,0.1240247,0.061147507,0.121559883
9/20/2015 2:00,0.147217045,0.1921022,0.101903317,0.07511675,0.116497017,0.10970525,0.120544148,0.116309667,0.204030467,0.063601202,0.1194625
9/20/2015 3:00,0.162548047,0.183379967,0.100846117,0.076226535,0.143526383,0.110542183,0.1215859,0.11619725,0.1423802,0.077035665,0.12122065
9/20/2015 4:00,0.158915507,0.17069991,0.0996162,0.081966567,0.237291483,0.161224883,0.1252509,0.116394567,0.12315825,0.145599797,0.120201317
