time,One_full_time_working_person_heat_demand[kW],One_pensioneer_heat_demand[kW],Two_full_time_working_persons_heat_demand[kW],Two_pensioneers_heat_demand[kW],One_full_time_and_one_part_time_working_person_heat_demand[kW],Two_full_time_working_persons_one_child_heat_demand[kW],"One_full_time_and_one_part_time_working_person,_one_child_heat_demand[kW]",Two_full_time_working_persons_two_children_heat_demand[kW],One_full_time_and_one_part_time_working_person_two_children_heat_demand[kW],Two_full_time_working_persons_three_children_heat_demand[kW],One_full_time_and_one_part_time_working_person_three_children_heat_demand[kW]
1/6/2015 10:00,5.6264075,3.691634167,4.852678167,4.337371667,4.5991905,5.8276005,4.635866833,4.449584833,4.380736333,4.453493667,4.8565205
1/6/2015 11:00,5.422204,3.4944745,4.6765565,6.029863667,4.432269167,5.616095333,4.4676135,4.211945,4.368066667,4.291859667,4.680259667
1/6/2015 12:00,5.311595167,3.418644167,4.581158333,5.495874667,4.341853667,5.50153,4.600838,4.120546667,4.056788333,4.2043085,4.584785667
1/6/2015 13:00,5.3622915,3.2804665,4.6248835,5.534957167,4.383295,5.5540405,5.819441833,3.9539975,3.892816333,4.244437,4.628546167
1/6/2015 14:00,5.496235,3.30772,4.740406833,4.2370225,4.492783667,5.6927725,4.528611,3.986848333,3.9251585,4.350457333,4.7441605
1/6/2015 15:00,5.703015167,3.32633,4.9187515,4.396428333,4.661812833,5.906947667,4.698986333,4.009278,3.9472415,4.514130667,4.922645833
1/6/2015 16:00,5.8958325,3.698325,5.085052667,4.545070167,4.819426333,6.1845575,4.857858,4.4576505,5.784499667,4.666752333,5.0890795
1/6/2015 17:00,6.117062,3.910165,5.275859667,4.715615,5.000265833,6.3357995,5.0401405,4.712985,4.6400595,4.841862667,5.280037167
1/6/2015 18:00,6.185052167,3.9575095,5.3345005,6.169220333,5.055844167,7.109616333,5.096161167,4.7700495,4.696240833,4.895680167,5.781847833
1/6/2015 19:00,6.139095833,3.981094167,5.294862667,4.7326,5.018276667,7.5881615,5.058294667,11.1070965,4.724229333,4.859303667,5.299056833
1/6/2015 20:00,5.806919333,3.975808,5.008367333,4.476527333,4.746746833,6.090598667,4.784598833,4.792104833,4.717955667,6.787714667,5.012332833
1/6/2015 21:00,4.989298,3.611865667,4.303182833,5.8132025,4.078398167,5.167708667,4.110921667,4.35344,4.286078167,4.5749325,4.749714833
1/6/2015 22:00,3.4534265,4.105932,2.978519667,4.4123125,2.8229315,3.654814333,5.036780167,3.609829,3.557397333,4.2991085,3.424001667
1/6/2015 23:00,2.652414333,2.172688,2.512021,2.044733667,2.168161333,2.747261,2.185451,2.618774,2.578253833,3.191411333,2.289472833
1/7/2015 0:00,2.472626167,1.911029167,2.1325965,1.906135833,2.021196333,2.561043667,2.037314667,2.303394167,2.2677525,2.832209333,2.134285167
1/7/2015 1:00,2.5220935,1.973592833,2.175262333,1.94427,2.061633333,2.612280333,2.0780745,2.378803,2.341995,1.996323667,2.176984
1/7/2015 2:00,2.653044167,1.970214167,2.288205333,2.045219333,2.1686765,2.747913667,2.185970333,2.374731,2.337986,2.099975333,2.290016
1/7/2015 3:00,2.919022,2.088465167,2.5176055,2.250261333,2.386094333,3.023401667,2.405122333,2.517259333,2.478309667,2.3105055,2.519599
1/7/2015 4:00,3.8001585,2.1902425,3.277571,2.929525167,3.106361333,3.9360475,3.131133,2.639934167,3.18077,3.007955,5.552658333
